ride_date,total_rides,unique_start_stations,unique_end_stations,avg_ride_duration_minutes,median_ride_duration_minutes,member_rides,casual_rides,member_share,casual_share
2024-01-25,74906,2119,2051,11.192257817798307,7.964308333333333,67074,7832,0.8954422876672096,0.10455771233279043
2024-01-26,72342,2133,2059,10.835311937740178,7.763233333333334,63981,8361,0.8844239860661857,0.11557601393381438
2024-01-27,80192,2132,2060,12.359624558351623,8.777133333333333,65821,14371,0.8207925977653632,0.17920740223463688
2024-01-28,29739,1964,1900,10.098657379199032,7.089183333333334,26304,3435,0.8844951074346817,0.11550489256531826
2024-01-29,70773,2113,2053,10.403699277737744,7.449416666666666,64896,5877,0.9169598575728032,0.08304014242719682
2024-01-30,78279,2135,2065,10.404021481282761,7.537233333333333,71708,6571,0.9160566690938822,0.08394333090611786
2024-01-31,82848,2142,2065,10.638227114514935,7.705550000000001,75802,7046,0.9149526844341445,0.08504731556585554
2024-02-01,87666,2143,2083,10.73107715381866,7.818858333333333,79217,8449,0.9036228412383364,0.09637715876166358
2024-02-02,68643,2124,2067,10.508426499181757,7.569649999999999,61548,7095,0.8966391329050304,0.10336086709496962
2024-02-03,72366,2125,2061,12.36478807750417,8.50665,60488,11878,0.8358621452063123,0.16413785479368764
2024-02-04,66327,2103,2031,12.356165753514155,8.539883333333334,54988,11339,0.8290439790733789,0.17095602092662113
2024-02-05,77079,2135,2079,10.432837881264676,7.577333333333333,70232,6847,0.911169060314742,0.08883093968525799
2024-02-06,82072,2131,2069,10.410354065332879,7.734883333333333,74857,7215,0.9120893849303051,0.0879106150696949
2024-02-07,89653,2134,2077,10.892902338832313,7.907683333333334,81176,8477,0.9054465550511416,0.09455344494885838
2024-02-08,94930,2153,2088,11.249130661891218,8.096291666666668,84811,10119,0.8934056673338249,0.10659433266617507
2024-02-09,97150,2144,2097,11.622994579516211,8.3294,83724,13426,0.8618013381369017,0.13819866186309832
2024-02-10,94547,2152,2083,14.38839455138714,9.755133333333333,74172,20375,0.7844987149248522,0.21550128507514782
2024-02-11,76985,2121,2071,12.134675385248208,8.555033333333334,62495,14490,0.8117815158797168,0.18821848412028316
2024-02-12,83763,2145,2069,10.703391224446753,7.789366666666667,74951,8812,0.8947984193498323,0.10520158065016774
2024-02-13,32023,1934,1903,10.148942604274012,7.071266666666667,29369,2654,0.9171220685132561,0.0828779314867439
2024-02-14,70899,2099,2067,10.048503249223073,7.40635,65342,5557,0.9216208973328256,0.07837910266717443
2024-02-15,75473,2108,2072,10.313937929237387,7.57875,68712,6761,0.9104182952844063,0.08958170471559365
2024-02-16,75513,2132,2096,10.72069370792667,7.75375,66986,8527,0.8870790459920809,0.11292095400791917
2024-02-17,38109,2008,1978,10.79003382665512,7.798,33414,4695,0.8768007557269937,0.12319924427300638
2024-02-18,46422,2067,2018,11.326660647609609,7.85785,39595,6827,0.8529361078798845,0.14706389212011547
2024-02-19,58458,2105,2050,11.208618950072417,7.8136833333333335,50745,7713,0.8680591193677512,0.1319408806322488
2024-02-20,68456,2121,2073,10.469395285049277,7.591141666666667,62240,6216,0.9091971485333645,0.0908028514666355
2024-02-21,74366,2126,2079,10.608051939058171,7.63265,67658,6708,0.9097974880994003,0.09020251190059973
2024-02-22,71229,2103,2076,10.783677661486193,7.732933333333333,64151,7078,0.9006303612292746,0.09936963877072541
2024-02-23,76246,2121,2088,11.211767268228279,7.93075,66704,9542,0.8748524512761325,0.1251475487238675
2024-02-24,72155,2130,2074,12.289578229274941,8.572416666666667,59412,12743,0.8233940821841869,0.17660591781581317
2024-02-25,57192,2085,2047,11.808156821175455,8.108,48548,8644,0.8488599804168415,0.15114001958315848
2024-02-26,83176,2140,2098,11.221297837316854,7.9942,74811,8365,0.8994301240742522,0.10056987592574781
2024-02-27,78419,2126,2089,11.401417949306504,7.9469666666666665,70421,7998,0.8980094109845829,0.10199058901541719
2024-02-28,67590,2085,2063,10.405115361986487,7.62865,61536,6054,0.9104305370616955,0.08956946293830448
2024-02-29,83946,2127,2100,10.641815522875817,7.663349999999999,75818,8128,0.9031758511424011,0.09682414885759894
2024-03-01,85690,2159,2089,11.086347901349827,7.925,74936,10754,0.8745011086474501,0.12549889135254988
2024-03-02,28090,2004,1925,10.30637213955144,7.218041666666666,24436,3654,0.8699181203275187,0.1300818796724813
2024-03-03,111998,2178,2095,17.227591752828918,11.359258333333333,82121,29877,0.7332363077912105,0.2667636922087894
2024-03-04,95433,2172,2096,11.771551035630582,8.1627,83629,11804,0.8763111292739408,0.12368887072605912
2024-03-05,50157,2089,2025,10.10476571831117,7.225416666666666,45873,4284,0.9145881930737484,0.08541180692625157
2024-03-06,53301,2099,2013,10.277252904886087,7.423816666666666,48449,4852,0.9089698129491004,0.0910301870508996
2024-03-07,93036,2156,2087,11.518284016223111,8.210749999999999,82791,10245,0.8898813362569328,0.1101186637430672
2024-03-08,103572,2181,2096,12.178078977587251,8.488208333333333,87593,15979,0.8457208511953037,0.15427914880469626
2024-03-09,42119,2077,2007,10.990812183733391,7.5695500000000004,35799,6320,0.8499489541537073,0.15005104584629264
2024-03-10,61759,2107,2040,11.802469589587483,8.083916666666667,51757,10002,0.8380478958532359,0.16195210414676403
2024-03-11,80114,2156,2071,11.075350503865325,7.692816666666667,71544,8570,0.893027435903837,0.10697256409616297
2024-03-12,117806,2174,2105,13.358366891612764,9.164633333333335,100432,17374,0.852520245148804,0.14747975485119602
2024-03-13,118979,2180,2106,12.64391975376607,8.746816666666666,102083,16896,0.8579917464426495,0.14200825355735044
2024-03-14,132422,2191,2144,13.913919162223799,9.444466666666667,109559,22863,0.8273474196130552,0.17265258038694475
2024-03-15,121809,2177,2117,13.446816691842693,9.22855,99539,22270,0.8171727869040876,0.18282721309591246
2024-03-16,112223,2147,2095,15.505298165705783,10.498583333333332,83971,28252,0.7482512497438136,0.2517487502561863
2024-03-17,100039,2153,2107,14.92114146133008,10.042466666666666,75419,24620,0.7538959805675787,0.24610401943242136
2024-03-18,90247,2173,2121,11.162255769720877,7.854966666666667,79162,11085,0.877170432258136,0.122829567741864
2024-03-19,90149,2159,2117,10.721465745229194,7.721216666666667,80548,9601,0.8934985413038414,0.10650145869615858
2024-03-20,89475,2164,2106,10.89761649008103,7.803333333333333,79363,10112,0.8869851913942443,0.1130148086057558
2024-03-21,82437,2164,2113,10.456378955849114,7.561883333333333,73477,8960,0.8913109404757572,0.10868905952424275
2024-03-22,84046,2153,2103,11.05983368889259,7.827025,72641,11405,0.8643005021059896,0.13569949789401042
2024-03-23,23403,1946,1911,10.307902093748664,7.15755,20247,3156,0.8651454941674145,0.13485450583258557
2024-03-24,70873,2131,2082,12.889863156161962,8.807966666666665,57441,13432,0.8104778970835156,0.18952210291648441
2024-03-25,90877,2165,2123,11.484307289523201,8.048966666666667,79397,11480,0.8736754074188189,0.12632459258118114
2024-03-26,102005,2159,2112,11.258501378037023,8.116533333333333,89468,12537,0.8770942600852899,0.12290573991471006
2024-03-27,93160,2161,2112,11.08643521933591,7.96835,81978,11182,0.8799699441820524,0.12003005581794762
2024-03-28,54499,2094,2048,10.194372945986776,7.358033333333334,48846,5653,0.8962733261160756,0.10372667388392448
2024-03-29,97071,2165,2110,12.554539435911172,8.547166666666667,79345,17726,0.8173913939281556,0.18260860607184431
2024-03-30,94977,2160,2100,15.223983520396166,10.07555,70952,24025,0.7470440211840761,0.25295597881592385
2024-03-31,90457,2169,2100,15.48494137638141,10.166816666666668,66568,23889,0.735907668837127,0.26409233116287295
