station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
5176.04,Bleecker St & Forest Ave,951,744,207,1695
5074.08,Woodward Ave & Harman St,1560,1354,206,2914
3776.1,McKeever Pl & Sullivan Pl,206,0,206,206
5779.08,1 Ave & E 16 St,12097,11894,203,23991
3113.1,Stratford Rd & Beverley Rd,201,0,201,201
6474.11,E 40 St & 5 Ave,10825,10624,201,21449
5503.01,Morgan Ave & Lombardy St,2226,2026,200,4252
7948.1,Intervale Ave & Westchester Ave,208,9,199,217
6915.02,Steinway St & 28 Ave,3562,3366,196,6928
7152.10,24 Ave & 26 St,1182,987,195,2169
5476.03,E 2 St & Ave C,9366,9171,195,18537
8104.1,Amsterdam Ave & W 156 St,308,113,195,421
3834.1,6 St & 7 Ave,1684,1490,194,3174
6518.08,34 Ave & 83 St,2146,1953,193,4099
8226.06,Broadway & W 168 St,2051,1859,192,3910
3791.02,Albany Ave & Carroll St,1655,1465,190,3120
3862.07,Eastern Pkwy & Troy Ave,1429,1240,189,2669
7541.01,W 95 St & Broadway,7529,7340,189,14869
6450.05,8 Ave & W 31 St,22766,22577,189,45343
7942.07,Broadway & W 138 St,2145,1960,185,4105
7288.04,Riverside Dr & W 72 St,7177,6993,184,14170
7932.10,W 144 St & Adam Clayton Powell Blvd,1073,892,181,1965
4663.02,Knickerbocker Ave & Hancock St,1349,1171,178,2520
3620.02,Windsor Pl & 8 Ave,1737,1559,178,3296
5335.07,Grand St & Samuel Dickstein Plaza,8584,8407,177,16991
6951.03,28 Ave & 35 St,2018,1842,176,3860
5575.08,Ave D & E 12 St,1783,1607,176,3390
7634.01,W 106 St & Amsterdam Ave,5217,5043,174,10260
6575.03,E 51 St & 2 Ave,6519,6345,174,12864
8049.1,Convent Ave & W 151 St,171,0,171,171
4220.02,Ralph Ave & Fulton St,1089,920,169,2009
6771.13,W 54 St & 6 Ave,4421,4252,169,8673
7959.18,Hamilton Pl & W 140 St,1540,1371,169,2911
4137.1,Coffey St & Conover St,368,200,168,568
4057.04,Brooklyn Ave & Prospect Pl,2093,1930,163,4023
5453.05,Forsyth St & Broome St,7664,7503,161,15167
6364.1,6 Ave & W 34 St,4721,4560,161,9281
4683.02,Emerson Pl & Myrtle Ave,6110,5951,159,12061
4033.18,Sterling Pl & Classon Ave,977,819,158,1796
6879.04,28 Ave & 44 St,1703,1546,157,3249
5779.09,E 13 St & Ave A,6071,5915,156,11986
6046.02,E 25 St & 2 Ave,11125,10970,155,22095
7354.01,Central Park West & W 85 St,8937,8782,155,17719
6230.04,FDR Drive & E 35 St,11694,11539,155,23233
5181.04,Cherry St,3692,3538,154,7230
7646.04,W 110 St & Amsterdam Ave,5822,5668,154,11490
6726.01,11 Ave & W 41 St,18701,18547,154,37248
4066.15,Bedford Ave & Bergen St,3623,3470,153,7093
8013.07,St Nicholas Ave & W 150 St,1434,1281,153,2715
8187.04,Edgecombe Ave & W 167 St,682,533,149,1215
3266.01,7 Ave & 40 St,707,558,149,1265
6850.01,38 St & 30 Ave,3615,3468,147,7083
7577.27,Central Park W & W 103 St,4860,4714,146,9574
7023.04,W 59 St & 10 Ave,8733,8589,144,17322
4507.07,Wilson Ave & Moffat St,1277,1134,143,2411
6122.09,2 Ave & E 29 St,13878,13736,142,27614
3902.06,Eastern Pkwy & Kingston Ave,4594,4454,140,9048
4729.01,Myrtle Ave & Lewis Ave,3311,3173,138,6484
6422.09,E 44 St & 2 Ave,5500,5364,136,10864
8191.01,Broadway & W 165 St,977,843,134,1820
7311.02,Amsterdam Ave & W 79 St,12218,12084,134,24302
4336.01,Monroe St & Classon Ave,2102,1968,134,4070
8336.02,Wadsworth Ave & W 179 St,2077,1944,133,4021
7849.1,Longwood Ave & Southern Blvd,203,72,131,275
6932.15,E 68 St & Madison Ave,4615,4484,131,9099
7382.04,W 84 St & Columbus Ave,7626,7496,130,15122
8153.1,W 163 St & Edgecombe Ave,130,0,130,130
4016.03,Kingston Ave & Park Pl,1753,1623,130,3376
8126.07,Grand Concourse & E 167 St,1591,1462,129,3053
4517.03,Jefferson Ave & Evergreen Ave,1474,1346,128,2820
7860.08,Convent Ave & W 135 St,2487,2359,128,4846
4458.06,Stuyvesant Ave & Gates Ave,1034,907,127,1941
4994.1,Onderdonk Ave & Gates Ave,350,225,125,575
5323.06,Sharon St & Olive St,2053,1930,123,3983
6676.02,W 45 St & 8 Ave,11730,11607,123,23337
6101.11,48 Ave & 41 St,1518,1395,123,2913
6224.06,8 Ave & W 24 St,7159,7037,122,14196
4172.04,Herkimer St & New York Ave,1269,1147,122,2416
3192.05,7 Ave & 41 St,1660,1539,121,3199
4404.1,Bond St & Bergen St,1082,961,121,2043
6389.09,E 39 St & Lexington Ave,13173,13052,121,26225
4953.04,South St & Gouverneur Ln,3988,3868,120,7856
3233.06,44 St & 6 Ave,763,643,120,1406
5097.02,60 Pl & Linden St,619,499,120,1118
8320.01,Fort Washington Ave & W 173 St,981,862,119,1843
4651.02,Clinton Ave & Myrtle Ave,8602,8483,119,17085
6617.09,E 53 St & Lexington Ave,8763,8645,118,17408
6380.1,39 Ave & 99 St,118,0,118,118
8416.1,W 186 St & St Nicholas Ave,183,65,118,248
7627.1,Lenox Ave & W 115 St,847,729,118,1576
3731.11,14 St & 7 Ave,4875,4758,117,9633
6907.03,46 St & 25 Ave,781,664,117,1445
3871.02,Eastern Pkwy & Brooklyn Ave,1967,1850,117,3817
6566.01,Southpoint Park,931,814,117,1745
7443.01,Madison Ave & E 99 St,4732,4615,117,9347
8394.15,Amsterdam Ave & W 186 St,550,434,116,984
7680.03,Cathedral Pkwy & Broadway,7456,7341,115,14797
6955.05,W 54 St & 11 Ave,12597,12484,113,25081
6251.06,43 Ave & 42 St,2232,2120,112,4352
6816.07,8 Ave & W 52 St,10461,10350,111,20811
6804.01,49 St & 25 Ave,636,525,111,1161
8018.04,Riverside Dr & W 145 St,1482,1371,111,2853
4680.05,Bushwick Ave & Dekalb Ave,1480,1369,111,2849
